pid,power
23912,0.0
23911,0.0
23910,0.0
23908,0.0
23907,0.0
23906,0.0
23905,0.0
23890,0.0
23888,0.0
23886,0.0
23885,0.0
23884,0.0
23881,0.0
23877,0.0
23868,0.0
23866,0.0
23838,0.0
23837,0.0
23827,0.0
23825,0.0
23823,0.0
23800,0.0
23788,0.0
23465,0.0
23460,0.0
22706,0.0
22705,0.0
22702,0.0
22014,0.0
22013,0.0
22002,0.0
20020,0.0
19229,0.0
19029,0.0
18921,0.0
18914,0.0
18518,0.0
18509,0.0
17614,0.0
17369,0.0
16814,0.0
11462,0.0
11396,0.0
11394,0.0
11332,0.0
11327,0.0
11323,0.0
11320,0.0
11315,0.0
11311,0.0
11306,0.0
11299,0.0
11297,0.0
11296,0.0
10231,0.0
10212,0.0
10167,0.0
10147,0.0
8729,0.0
8727,0.0
8084,0.0
8065,0.0
8023,0.0
8003,0.0
6994,0.0
6870,0.0
6534,0.0
6515,0.0
6369,0.0
6348,0.0
6323,0.0
6321,0.0
5364,0.0
5361,0.0
4941,0.0
4930,0.0
4916,0.0
4914,0.0
4913,0.0
4911,0.0
4910,0.0
4908,0.0
4907,0.0
4905,0.0
4904,0.0
4899,0.0
4893,0.0
4889,0.0
4871,0.0
4870,0.0
4863,0.0
3864,0.0
3280,0.0
3224,0.0
3147,0.0
3145,0.0
3144,0.0
3143,0.0
3142,0.0
3141,0.0
3140,0.0
3139,0.0
3055,0.0
3049,0.0
3041,0.0
2826,0.0
2813,0.0
2219,0.0
1292,0.0
1289,0.0
1286,0.0
1285,0.0
1265,0.0
1264,0.0
1255,0.0
1251,0.0
1240,0.0
1229,0.0
1227,0.0
1223,0.0
1222,0.0
1218,0.0
1212,0.0
1209,0.0
1206,0.0
1164,0.0
1160,0.0
1159,0.0
1158,0.0
1143,0.0
1142,0.0
1140,0.0
1136,0.0
1132,0.0
1125,0.0
1106,0.0
1101,0.0
1072,0.0
1070,0.0
1061,0.0
1058,0.0
1040,0.0
1039,0.0
1035,0.0
1033,0.0
1031,0.0
1017,0.0
1014,0.0
1003,0.0
1001,0.0
978,0.0
951,0.0
943,0.0
938,0.0
935,0.0
929,0.0
925,0.0
923,0.0
922,0.0
921,0.0
920,0.0
919,0.0
918,0.0
915,0.0
912,0.0
910,0.0
902,0.0
890,0.0
889,0.0
883,0.0
879,0.0
878,0.0
876,0.0
870,0.0
868,0.0
866,0.0
862,0.0
858,0.0
857,0.0
855,0.0
848,0.0
847,0.0
846,0.0
844,0.0
843,0.0
841,0.0
837,0.0
835,0.0
832,0.0
818,0.0
816,0.0
815,0.0
809,0.0
808,0.0
804,0.0
801,0.0
795,0.0
786,0.0
785,0.0
778,0.0
773,0.0
764,0.0
763,0.0
761,0.0
755,0.0
754,0.0
750,0.0
743,0.0
742,0.0
741,0.0
740,0.0
737,0.0
735,0.0
733,0.0
732,0.0
729,0.0
722,0.0
721,0.0
720,0.0
716,0.0
715,0.0
694,0.0
688,0.0
685,0.0
683,0.0
673,0.0
672,0.0
670,0.0
660,0.0
658,0.0
657,0.0
656,0.0
655,0.0
653,0.0
652,0.0
651,0.0
650,0.0
647,0.0
644,0.0
643,0.0
642,0.0
641,0.0
640,0.0
639,0.0
632,0.0
629,0.0
628,0.0
624,0.0
618,0.0
617,0.0
615,0.0
614,0.0
612,0.0
608,0.0
597,0.0
595,0.0
593,0.0
584,0.0
582,0.0
581,0.0
580,0.0
571,0.0
567,0.0
561,0.0
556,0.0
554,0.0
552,0.0
546,0.0
545,0.0
541,0.0
536,0.0
529,0.0
524,0.0
522,0.0
